v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,,,
ham,I am in bus on the way to calicut,,,
ham,Hows the champ just leaving glasgow!,,,
ham,U too...,,,
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,
spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,,,
ham,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",,,
ham,Nt yet chikku..simple habba..hw abt u?,,,
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,,,
spam,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",,,
ham,And miss vday the parachute and double coins??? U must not know me very well...,,,
ham,My drive can only be read. I need to write,,,
ham,Then mum's repent how?,,,
ham,"Aight, lemme know what's up",,,
ham,I accidentally brought em home in the box,,,
ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,,,
ham,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,,,
ham,So are you guys asking that i get that slippers again or its gone with last year,,,
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",,,
ham,All will come alive.better correct any good looking figure there itself..,,,
ham,I'm gonna rip out my uterus.,,,
ham,Thanks for picking up the trash.,,,
ham,How would my ip address test that considering my computer isn't a minecraft server,,,
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",,,
ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  ,,,
ham,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",,,
ham,Hey what are you doing. Y no reply pa..,,,
ham,Yup no more already... Thanx 4 printing n handing it up.,,,
ham,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,,,
ham,Aah bless! How's your arm?,,,
ham,"\Gimme a few\"" was  &lt;#&gt;  minutes ago""",,,
ham,But you dint in touch with me.,,,
ham,Went to ganesh dress shop,,,
ham,Anything...,,,
spam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",,,
ham,"Haha awesome, omw back now then",,,
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,
ham,Ok...,,,
ham,Anything lor but toa payoh got place 2 walk meh...,,,
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",,,
ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""",,,
ham,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,,,
ham,R u still working now?,,,
ham,I didnt get anything da,,,
ham,\SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY," ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP...\""""",
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX,,,
ham,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!,,,
ham,I'll let you know when it kicks in,,,
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,,,
spam,"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only å£1.50/wk.""",,,
ham,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,,,
ham,"I've got  &lt;#&gt; , any way I could pick up?",,,
ham,Then u drive lor.,,,
ham,Ok...,,,
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",,,
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,,,
spam,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..,,,
ham,Jus ans me lar. U'll noe later.,,,
ham,"Call me. I m unable to cal. Lets meet bhaskar, and deep",,,
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",,,
ham,"It's cool, we can last a little while. Getting more any time soon?",,,
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",,,
ham,Shall i come to get pickle,,,
ham,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx,,,
ham,I'm not coming home 4 dinner.,,,
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",,,
ham,Yup ok thanx...,,,
ham,I'm already back home so no probably not,,,
ham,I will take care of financial problem.i will help:),,,
ham,"Total disappointment, when I texted you was the craziest shit got :(",,,
ham,We are both fine. Thanks,,,
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant,,,
ham,Good morning princess! How are you?,,,
ham,Yun buying... But school got offer 2000 plus only...,,,
ham,Ok ok take care. I can understand.,,,
ham,U in town alone?,,,
spam,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,,,
ham,Okie...,,,
spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,,,
ham,"fyi I'm at usf now, swing by the room whenever",,,
ham,Will be office around 4 pm. Now i am going hospital.,,,
ham,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,,,
ham,Dip's cell dead. So i m coming with him. U better respond else we shall come back.,,,
ham,At what time are you coming.,,,
ham,A guy who gets used but is too dumb to realize it.,,,
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",,,
ham,No no. I will check all rooms befor activities,,,
ham,"I prefer my free days... Tues, wed, fri oso can... ÌÏ ask those workin lor...",,,
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.,,,
ham,He telling not to tell any one. If so treat for me hi hi hi,,,
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",,,
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",,,
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",,,
ham,Watching telugu movie..wat abt u?,,,
ham,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...,,,
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",,,
ham,Not getting anywhere with this damn job hunting over here!,,,
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,
ham,No need to buy lunch for me.. I eat maggi mee..,,,
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,,,
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,,,
ham,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",,,
ham,I am on the way to ur home,,,
ham,"Hi elaine, is today's meeting confirmed?",,,
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
ham,She doesnt need any test.,,,
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,,,
ham,I've reached home n i bathe liao... U can call me now...,,,
ham,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?,,,
spam,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC,,,
ham,If I die I want u to have all my stuffs.,,,
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",,,
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
ham,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",,,
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,,,
ham,That was random saw my old roomate on campus. He graduated,,,
ham,S.i'm watching it in live..,,,
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,,,
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ì_ not interested.,,,
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",,,
ham,Then why no one talking to me,,,
ham,Who's there say hi to our drugdealer,,,
ham,"Aight, I'll hit you up when I get some cash",,,
ham,"Sorry, I'll call later",,,
ham,I am going to sao mu today. Will be done only at 12 ,,,
ham,"Yes, princess. Are you going to make me moan?",,,
ham,Nothing just getting msgs by dis name wit different no's..,,,
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,,,
ham,"I call you later, don't have network. If urgnt, sms me.",,,
ham,K sure am in my relatives home. Sms me de. Pls:-),,,
ham,Hope you are having a good week. Just checking in,,,
ham,Ha ha cool cool chikku chikku:-):-DB-),,,
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",,,
ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,,,
ham,Ok i shall talk to him,,,
ham,"Sure, whenever you show the fuck up &gt;:(",,,
ham,Then i buy.,,,
ham,"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\""""",,,
ham,Pathaya enketa maraikara pa',,,
ham,Thanks. Fills me with complete calm and reassurance! ,,,
ham,ÌÏ mean it's confirmed... I tot they juz say oni... Ok then... ,,,
ham,Thank you. do you generally date the brothas?,,,
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,,,
ham,Good words.... But words may leave u in dismay many times.,,,
ham,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..",,,
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5",,,
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",,,
ham,Hello madam how are you ?,,,
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",,,
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,,,
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,,,
ham,"Cool, text me when you're ready",,,
ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",,,
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",,,
ham,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie,,,
ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",,,
ham,Yeah whatever lol,,,
ham,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,,,
ham,No messages on her phone. I'm holding it now,,,
ham,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?,,,
spam,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)",,,
ham,Do u still have plumbers tape and a wrench we could borrow?,,,
ham,Dear reached railway. What happen to you,,,
ham,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,,,
ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",,,
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,,,
spam,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",,,
ham,Guess he wants alone time. We could just show up and watch when they do..,,,
ham,Oh ic. I thought you meant mary jane.,,,
ham,I anything lor...,,,
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",,,
ham,"Fuuuuck I need to stop sleepin, sup",,,
ham,"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",,,
ham,ARR birthday today:) i wish him to get more oscar.,,,
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,
ham,We're done...,,,
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,,,
ham,Me fine..absolutly fine,,,
ham,Nope... Juz off from work...,,,
ham,Is there any movie theatre i can go to and watch unlimited movies and just pay once?,,,
ham,Horrible gal. Me in sch doing some stuff. How come u got mc?,,,
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",,,
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",,,
ham,Okie,,,
ham,Me fine..absolutly fine,,,
ham,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\""""",,,
spam,You have 1 new message. Call 0207-083-6089,,,
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,,,
ham,Alright i have a new goal now,,,
spam,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,,,
ham,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,,,
ham,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,,,
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",,,
ham,So that means you still think of teju,,,
ham,Yes I know the cheesy songs from frosty the snowman :),,,
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",,,
ham,Not yet chikku..wat abt u?,,,
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,,,
ham,Only once then after ill obey all yours.,,,
ham,"Sorry, I'll call later",,,
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,,,
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",,,
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,,,
ham,No one interested. May be some business plan.,,,
ham,Apart from the one i told you about yesterday?,,,
ham,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",,,
ham,:-) :-),,,
ham,Oh that was a forwarded message. I thought you send that to me,,,
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,
ham, what number do u live at? Is it 11?,,,
spam,"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",,,
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,,,
ham,I WILL CAL YOU SIR. In meeting,,,
ham,I'm thinking that chennai forgot to come for auction..,,,
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",,,
ham,Sorry . I will be able to get to you. See you in the morning.,,,
ham,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.,,,
ham,Well boy am I glad G wasted all night at applebees for nothing,,,
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?,,,
ham,Here got lots of hair dresser fr china.,,,
ham,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.",,,
ham,Ok... Help me ask if she's working tmr a not?,,,
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,,
ham,"Alright, we're all set here, text the man",,,
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,,,
ham,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ I will be with YOU \"" Wherevr.. Whenevr.. Forevr... Gudnyt dear..""",,,
ham,Dude just saw a parked car with its sunroof popped up. Sux,,,
ham,Thought we could go out for dinner. I'll treat you! Seem ok?,,,
ham,"\Thinking of u ;) x\""""",,,
ham,Lil fever:) now fine:),,,
ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,,,
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,,,
spam,TBS/PERSOLVO. been chasing us since Sept forå£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,,,
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough ‰Û_",,,
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,,,
ham,\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But," its a miracle to Love a person who can't Love anyone except U...\"" Gud nyt...""",,
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,,,
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,,,
ham,I'm really not up to it still tonight babe,,,
ham,Normally i use to drink more water daily:),,,
ham,Aight should I just plan to come up later tonight?,,,
ham,Hi. I'm always online on yahoo and would like to chat with you someday,,,
ham,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.",,,
ham,I will come to ur home now,,,
ham,Good Morning plz call me sir,,,
spam,FreeMsg>FAV XMAS TONES!Reply REAL,,,
ham,Update your face book status frequently :),,,
ham,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,,,
ham,Ya srsly better than yi tho,,,
ham,Draw va?i dont think so:),,,
ham,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.",,,
ham,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,,,
ham,Prepare to be pounded every night...,,,
ham,"Theoretically yeah, he could be able to come",,,
ham,No message..no responce..what happend?,,,
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,,,
ham,Merry christmas to u too annie!,,,
ham,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.,,,
ham,"I've got ten bucks, jay is being noncomittal",,,
ham,"* Was really good to see you the other day dudette, been missing you!",,,
ham,Thanks honey. Have a great day.,,,
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,
ham,"Until 545 lor... Ya, can go 4 dinner together...",,,
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,,,
ham,What your plan for pongal?,,,
spam,WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,,,
ham,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit,,,
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,,,
ham,Ok leave no need to ask,,,
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,,,
ham,Nvm it's ok...,,,
ham,"sorry, no, have got few things to do. may be in pub later.",,,
ham,You getting back any time soon?,,,
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,,,
ham,Tiwary to rcb.battle between bang and kochi.,,,
ham,Mmm thats better now i got a roast down me! iåÕd b better if i had a few drinks down me 2! Good indian?,,,
ham,Did you try making another butt.,,,
spam,network operator. The service is free. For T & C's visit 80488.biz,,,
ham,Actually i'm waiting for 2 weeks when they start putting ad.,,,
ham,What you doing?how are you?,,,
ham,Oh... Okie lor...We go on sat... ,,,
ham,Thts wat Wright Brother did to fly..,,,
spam,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",,,
ham,\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But," its a miracle to Love a person who can't Love anyone except U...\"" Gud nyt...""",,
ham,Xy trying smth now. U eat already? We havent...,,,
ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,,,
ham,"I'm home, my love ... If your still awake ... *loving kiss*",,,
